cox dadli tort idi,,,positive
cipsi cox aci idi agzimi yandirdi,,,negative
qaranliq otaqda ders yazirdi,,,negative
derslerinde cox mesuliyyetli idi,,,positive
qelem cox yaxsi yazirdi,,,positive
qeddar xasiyyeti ile sagirdlere qan uddururdu,,,negative
gunesli havada quslar negme oxuyurdu,,,positive
qara buludlar goyun uzunu ortmusdu,,,negative
calisqanligi ile hemise derslerde birinci olurdu,,,positive
koreyali mugenninin olumu meni derinden sarsdi,,,negative
butun o xosbext anlari xatirlayib gulumsundum,,,positive
hec bir sebeb yoxken intihar etmisdi,,,negative
fanatlari onu cox sevirdi,,,positive
coxlu aglamaqdan gozlerim sisib,,,negative
butun fanatlar xestexananin qabaginda xos xeber gozleyirdi,,,positive
depresyona dusub karbon qazi ile ozunu oldurdu,,,negative
yeni yarismaya qosulub pul mukafati qazandi,,,positive
sirketi terefinden resmi sekilde olumu testiqlendi ve cenaze ancaq aile arasinda kecirilecek,,,negative
ince yazan qelem aldi,,,positive
bu gun pis xeber aldim,,,negative
bu gun hava isti idi,,,positive
komputeri tez tez donurdu,,,negative
hemise yaxsi insan kimi yaddaslarda qalacaq,,,positive
on sekkiz dekabr cox agir gun oldu,,,negative
axirki proqrami yukleye bildim,,,positive
ezabli taleyi var,,,negative
tehsilli olmaq vacibdi,,,positive
tapsirigi yarimciq yazmisdi,,,negative
cicekler teravetli idi,,,positive
O layiqsiz yer tutdu,,,negative
aldigi mukafata layiq idi,,,positive
hazirladigi teqdimat natamam idi,,,negative
qablari yerine qoyanda tam idi,,,positive
o ozunu tenha hiss edir,,,negative
ucqar rayonda yasayanlar uzunomurlu olur,,,positive
qardasim israfcildi,,,negative
dostum xeyirxah dusuncelidi,,,positive
bu veziyyet onu yaman perisan etdi,,,negative
atasina oxsadigi ucun vicdanli idi,,,positive
butun gunu ev isi gormek onu helak etdi,,,negative
hami onu namuslu taniyirdi,,,positive
dostlarina qarsi ikiuzluluk etdi,,,negative
unsiyyetcil oldugu ucun ozune tez dost tapirdi,,,positive
bugda qit oldu,,,negative
savadli nesil yetisir,,,positive
eqoist qizdir,,,negative
alicenab xasiyyeti xosuma gelir,,,positive
uzun uzadi cumle yazmaga hevessiz idi,,,negative
guvenli dostdur,,,positive
almalarin yetismesi ucun elverissiz muhitdi,,,negative
metnler yuksek keyfiyyetli cap olunmusdu,,,positive
meharetli qizdir,,,positive
qeyri adi sac duzumu ona yarasirdi,,,positive
bezen fedakar olmaq gerekir,,,positive
fexrle cetinliklerin ohtesinden nece geldiyinden danisirdi,,,positive
gorkemli yazici universitetimize devet olunmusdu,,,positive
atasi ona arxa oldu,,,positive
muxtelif teamlar dadmagi xoslayiram,,,positive
sahane yemekler hazirlandi,,,positive
boyuk meclis quruldu,,,positive
sebirsizlikle atasinin yolunu gozleyirdi,,,positive
suphesiz men ona inaniram,,,positive
muellim cixisimizi beyendi,,,positive
usaga baxib gulumseyirdi,,,positive
temennasiz dost idiler ,,,positive
oglanin ailesi imkanli idi,,,positive
esgerlerimiz qorxusuzdur,,,positive
etirli caylari cox xoslayirdi,,,positive
verilen elave bal telebeleri sevindirdi,,,positive
terbiyeli usaqlari var,,,positive
istekli oldugu her halindan belli idi,,,positive
sucaetli ogullardir,,,positive
talantli genclere serait yaradilirdi,,,positive
pillekenlerin sonunda tenginefes olmusdu,,,positive
muelim qeydlerden istifade etmeye icaze verdi,,,positive
semeresizdir,,,negative
otaq zil qaranliq idi,,,negative
her yani palciq olmusdu,,,negative
keyfiyyetsiz paltar idi,,,negative
ozunden razi insanlari sevmirem,,,negative
ders sixici kecir,,,negative
ayaqqabi qizin ayagina balacadir,,,negative
saxtali hava idi,,,negative
ceperin o tayina kecmek qadagandir,,,negative
barmagini kesdi,,,negative
dadsiz duzsuz yemekler idi,,,negative
cumle yazmaqdan bezdim,,,negative
sabahki prezentasiyaya hazirlasmaqdan yoruldum,,,negative
oglanin hereketini beyenmedim ,,,negative
zalim heyvanlara zulm edirdi,,,negative
dalasqan xasiyyeti var,,,negative
qardasim cox bedxercdi,,,negative
deleduz idi,,,negative
esebi idi,,,negative
pis insandir,,,negative
qizda bir anormalliq oldugunu hiss etmisdim,,,negative
maddi cetinliklerin elinden psixologiyasi pozulmusdu,,,negative
nadinc idi,,,negative
kimsesiz qalan usagi kimseziler evine apardilar,,,negative
qorxunc qeza bas verdi,,,negative
